created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 19 23:43:49 +0000 2023;1715151797575447009;"@txtdarionlshop Harusnya ditutup gak sih? Krn ini sama aja kayak tiktok shop toh? Dia bisa manipulasi seller pake jasa pengirimannya klo mau dpt benefit subsidi.";0;2;0;17;in;297302790;1715145858453540969;nasipakde;https://twitter.com/nasipakde/status/1715151797575447009
Thu Oct 19 17:26:42 +0000 2023;1715056895264993499;"Dari Omzet Ratusan Ribu Melejit ke Jutaan Rupiah, Pedagang Offline Bersyukur TikTok Shop Ditutup https://t.co/FbrBGhbmtp";0;0;0;0;in;1646386392321368064;1715056895264993499;Cariakudotcom;https://twitter.com/Cariakudotcom/status/1715056895264993499
Thu Oct 19 14:47:34 +0000 2023;1715016847962284348;"@Barudakbabi Pantes pada mewek tiktok shop ditutup walopun algoritmanya sampah juga mayan bener2 bantu toko2 online";0;0;0;0;in;1682640865477693440;1715008889765376279;whythecreator;https://twitter.com/whythecreator/status/1715016847962284348
Thu Oct 19 14:45:02 +0000 2023;1715016210612658414;"@Iavinia Merenung Tiktok shop ditutup, ya?";0;1;0;1;in;1052396516;1715016021327884475;micielaz;https://twitter.com/micielaz/status/1715016210612658414
Thu Oct 19 09:24:37 +0000 2023;1714935576028414340;"@hrdbacot “Saya lihat di cv kamu ada gap ya setelah resign di bulan Oktober sampai dengan November. Itu kenapa ya?”  "Tiktok shop ditutup pak"";0;0;0;0;in;120987455;1714869472388088000;AhmadZulfakar_;https://twitter.com/AhmadZulfakar_/status/1714935576028414340
Thu Oct 19 08:08:04 +0000 2023;1714916308385677771;"Dinas Koperasi dan UKM Kutim Setuju TikTok Shop Ditutup  @@detakkaltim https://t.co/bNB1W0HNGR";0;0;0;0;in;700957614620807168;1714916308385677771;detakkaltim;https://twitter.com/detakkaltim/status/1714916308385677771
Thu Oct 19 04:37:27 +0000 2023;1714863307805585886;"@MySumatera pas tiktokshop ditutup jadi jarang buka tiktok hehehe";0;0;0;1;in;1322152481615310848;1714846690786882041;eRcepeRose;https://twitter.com/eRcepeRose/status/1714863307805585886
Wed Oct 18 22:14:18 +0000 2023;1714766884762214601;"Kado terbaik di ulang tahun saya tahun ini adalah di PHK dari tempat saya bekerja di @jntexpressid dikarenakan tiktok shop ditutup dan barang yg sudah mulai sedikit.. yaa semoga ini jalan dan rencana terbaik dari Allah SWT buat hamba nya, meskipun tdk sesuai keinginan hambanya🥲 https://t.co/O6RitwPMag";1;0;0;1;in;1201084087093452801;1714766884762214601;dudekk141;https://twitter.com/dudekk141/status/1714766884762214601
Wed Oct 18 21:33:41 +0000 2023;1714756661637001577;"Tiktokshop ditutup bru gw krja mau jln 2 bln sebagai host, dari berita tiktok shop ditutup banyak host di cut off sm atasanya  anjirr";0;0;0;0;in;1265640637958774789;1714756661637001577;nt44n_;https://twitter.com/nt44n_/status/1714756661637001577
Wed Oct 18 18:10:03 +0000 2023;1714705417715282249;"tiktok shop ditutup akibate ngene";0;2;0;2;tl;112957852;1714705417715282249;lintangnares;https://twitter.com/lintangnares/status/1714705417715282249
Wed Oct 18 17:40:19 +0000 2023;1714697932933595198;"@jeonghaanz Kebetulan tiktokshop ditutup jadinya rungkad bisnis dasternya";0;0;0;0;in;785427416155983872;1714595221361827916;hwiyounhg;https://twitter.com/hwiyounhg/status/1714697932933595198
